owner,name,definition
Computer Science Curriculum,CPSC 110,"Introduction to Computing (3-3-0) LLFR. Designed for students majoring in other than the computer sciences. Introduction to computers, their capabilities, limitations and implications. Applications such as spreadsheets, presentation, multimedia and webpage development. Computer terminology, hardware and software organization. Satisfies the logical reasoning foundation requirement."
Computer Science Curriculum,CPSC 125,"Foundations of Computer Science (3-3-0). The function and architecture of computer hardware. Data and instruction representation. Networks, operating systems and their functions. Algorithms, programming languages and software engineering. Artificial intelligence, theory of computation and applications. This course includes a hands-on component."
Computer Science Curriculum,CPSC 140,"Introduction to Computer Programming with Multimedia (3-3-0) LLFR. This course is an introduction to computer programming via multimedia using a simple yet powerful language. Topics include programming language concepts, data types and operations, expressions, symbolic logic, conditionals, loops, functions and basic data structures. Assignments will be multimedia-oriented, such as a simple photo shop-like application, an animation generator and a simplified iTunes-like application."
Computer Science Curriculum,CPSC 150,"Introduction to Programming (3-3-0) LLFR. This course is an introduction to problem solving and programming. Topics include using primitive and object types, defining Boolean and arithmetic expressions, using selection and iterative statements, defining and using methods, defining classes, creating objects and manipulating arrays. Emphasis is placed on designing, coding and testing programs using the above topics. Satisfies the logical reasoning foundation requirement."
CPSC 150,CPSC 150L,"Introduction to Programming Laboratory (1-0-3). Laboratory course supports the concepts in CPSC 150 lecture with hands-on programming activities and language specific implementation. Laboratory exercises stress sound design principles, programming style, documentation and debugging techniques. Lab fees apply each term."
CPSC 150,CPSC 250,"Programming for Data Manipulation (3-3-0). This course builds upon concepts taught in CPSC 150 and provides continuing study of data storage and manipulation, and introduces their application to scientific computing and visualization. Specific topics include object oriented design, programming style, debugging and algorithm design. The course will incorporate the use of existing libraries for data processing and visualization."
CPSC 250,CPSC 250L,"Programming for Data Manipulation Laboratory (1-0-3). Laboratory course supports the concepts in CPSC 250 lecture with hands-on programming activities and language specific implementation. Laboratory exercises stress sound design principles, programming style, documentation and debugging techniques. Lab fees apply each term."
CPSC 250,CPSC 255,"Programming for Applications (3-3-0). This course provides a study of programming and problem solving using a scalable structured programming language. The course assumes competency with programming and problem solving using variables, conditional statements, loops, classes (objects) and arrays. The course begins with a brief introduction to these prior programming concepts, before moving on to more advanced concepts such as class inheritance and interfaces, generics and beginning data structures such as linked lists, stacks and queues. The course includes more advanced programming techniques such as exceptions, recursion, networking and data structures."
CPSC 250,CPSC 256,"C/C++ Programming for Engineers and Scientists (3-3-0). This course explores problem-solving techniques for problems primarily from fields of engineering and sciences to include procedural and object-oriented program development, editing, compiling, linking and debugging using C/C++ programming language. Applications in hardware-oriented programming, embedded environment and computer simulation are also studied."
CPSC 255,CPSC 270,"Data and File Structures (3-3-0). Study of objects and data structures. Trees, graphs, heaps with performance analysis or related algorithms. Structure, search, sort/merge and retrieval of external files. Programming assignments will involve application of the topics covered."
CPSC 255,CPSC 280,"Introduction to Software Engineering (3-3-0). This course introduces the theory and practice of building reliable software systems. It covers the life-cycle of software development and its existing models, methods for modeling, designing, testing and debugging software and techniques to choose appropriate models to build systems involving individuals or teams of developers."
CPSC 255,CPSC 360,"Programming Language Concepts (3-3-0). Basic concepts dealing with information binding, arithmetic, string handling, data structures, storage and mapping, input/output and execution environment. Specialized concepts concerning recursion, multiprocessing, list processing and language extensibility. Several programming languages will be examined."
CPSC 255,CPSC 327,"C++ Programming (3-3-0). Designed for students who already know how to program, but do not know C++. This is a comprehensive introduction to C++. The course will emphasize basic C++, in particular memory management, inheritance and features needed for low level programming."
CPSC 270,CPSC 410,"Operating Systems I (3-3-0). Introduction to operating systems, I/O processing, interrupt structure and multiprocessing-multiprogramming, job management, resource management, batch and interactive processing, deadlock problem, computer networking through teleprocessing and system performance evaluation."
CPSC 270,CPSC 420,"Algorithms (3-3-0). The application of analysis and design techniques to numerical and non-numerical algorithms which act on data structures. Examples will be taken from areas such as combinatorics, numerical analysis, systems programming and artificial intelligence."
CPSC 270,CPSC 498,"Capstone Project in Computer Science (3-3-0). Directed projects or research under the supervision of a faculty member."
CPSC 280,CPSC 425,"Object Oriented Programming and Design (3-3-0). Object-oriented design and applications of an object oriented programming language. Presents object-oriented design methods and provides guidance in the effective implementation of object oriented programs."
CPSC 280,CPSC 480,"Software Design and Development (3-3-0). Presentation and application of formal approaches to state-of-the-art techniques in software design and development."
CPSC 250,CPSC 330,"Computer Organization (3-3-0). Study of computer organization and architecture. Examine functional organization of a von Neumann computer including computer micro-operations, control organizations, basic instruction sets, addressing modes, CPU design, memory organization and Input-Output organization. More advanced topics including vector processing and multiprocessors will also be introduced."
CPSC 250,CPSC 335,"Data Communication Systems (3-3-0). A broad overview of computer networking topics to include the OSI model, protocols, applications, TCP/IP, addressing and subnetting, wired and wireless technologies and network security."
CPSC 250,CPSC 350,"Information Systems Analysis (3-3-0). Introduction to information systems profession. Tools and techniques for profiling organizations and analyzing their goals and needs to determine and specify information systems requirements. Practical experience in real-life information systems analysis."
CPSC 350,CPSC 351,"Information Systems Design and Implementation (3-3-0). Lecture/project-based course for systematic design, implementation, and maintenance of information systems. Based on given requirements for an information system, the course guides students in methods, tools and techniques for realizing the desired system."
CPSC 250,CPSC 440,"Database Management Systems (3-3-0). Database (DB) concepts. Relational, hierarchical and network models. Query languages, data sub-languages and schema representations. The DB environment: DB administration, security, dictionaries, integrity, backup and recovery. May be taken as research intensive."
CPSC 440,CPSC 441,"Big Data Technologies (3-3-0). This course covers facets of cloud computing and big data management, including the study of the architecture of the cloud computing model with respect to virtualization, multitenacy, privacy, security, cloud data management and indexing, scheming and cost analysis; it also includes relevant programming models, crowd sourcing and data provenance."
CPSC 255,CPSC 471,"Applied Artificial Intelligence (3-3-0). This course is an introduction to the mathematical and computational foundations of artificial intelligence. Its emphasis is on those elements of artificial intelligence that are most useful for practical applications. Topics include heuristic search, problem solving, game playing, knowledge representation, logical inference, planning, reasoning under uncertainty, expert systems, machine learning and language understanding. Programming assignments are required."
CPSC 255,CPSC 472,"Introduction to Robotics (3-3-0). This course presents an overview of applied robotics. The course will cover introductions to configuration space representations, rigid body transforms in 2D and 3D, robot kinematics, basic control theory, motion planning, perception and machine decision making. Perception topics include basic computer vision and laser rangefinder (LIDAR)-based obstacle detection and mapping. The course includes hands on development and system integration using various robotic platforms. Programming will be done in Ubuntu Linux in a mixture of C++ and Python; no prior experience is required, but students will be expected to self-teach the specifics necessary to complete the projects."
CPSC 255,CPSC 475,"Android Mobile Computing (3-3-0). This course covers core concepts of the Android programming platform and its key components using the Android SDK and the Java programming language. Topics discussed include application lifecycle, user interface design, activities and intents, data persistence, networking, messaging, location-based applications and android services."
