owner,name,definition
Minecraft Crafting,Raw Materials,"Basic resources gathered directly from the Minecraft world without crafting"
Minecraft Crafting,Basic Materials,"Simple processed materials crafted from raw resources"
Minecraft Crafting,Intermediate Items,"More complex items crafted from basic materials"
Minecraft Crafting,Advanced Tools,"Specialized tools and equipment crafted from intermediate items"
Raw Materials,Oak Log,"Wood block obtained by breaking oak trees with any tool or hand"
Raw Materials,Cobblestone,"Stone block obtained by mining stone with a pickaxe"
Raw Materials,Iron Ore,"Ore block that drops raw iron when mined and can be smelted into iron ingots"
Raw Materials,Coal,"Fuel item obtained by mining coal ore used for torches and smelting"
Raw Materials,Wool,"Block obtained from sheep used for beds and decorative items"
Basic Materials,Oak Planks,"Wooden planks crafted from one oak log producing four planks"
Basic Materials,Stick,"Crafting ingredient made from two planks placed vertically producing four sticks"
Basic Materials,Iron Ingot,"Metal ingot produced by smelting iron ore or raw iron in a furnace"
Basic Materials,Charcoal,"Fuel item created by smelting any log in a furnace used as coal substitute"
Oak Planks,Crafting Table,"3x3 crafting grid workstation made from four planks arranged in a square"
Oak Planks,Wooden Planks,"Generic wooden building material that can be any wood type"
Stick,Torch,"Light source made from one stick and one coal or charcoal"
Stick,Wooden Tools,"Basic tool tier crafted from sticks and planks with low durability"
Wooden Tools,Wooden Pickaxe,"Tool for mining stone and coal made from three planks and two sticks"
Wooden Tools,Wooden Sword,"Weapon for combat made from two planks and one stick"
Wooden Tools,Wooden Axe,"Tool for chopping wood faster made from three planks and two sticks"
Iron Ingot,Iron Tools,"Durable tool tier crafted from iron ingots and sticks"
Iron Ingot,Iron Armor,"Protective equipment crafted from iron ingots"
Iron Tools,Iron Pickaxe,"Mining tool made from three iron ingots and two sticks that mines diamonds"
Iron Tools,Iron Sword,"Combat weapon made from two iron ingots and one stick with good damage"
Iron Tools,Iron Axe,"Chopping tool made from three iron ingots and two sticks"
Iron Armor,Iron Helmet,"Head protection crafted from five iron ingots"
Iron Armor,Iron Chestplate,"Torso protection crafted from eight iron ingots"
Intermediate Items,Chest,"Storage container made from eight planks holding 27 item stacks"
Intermediate Items,Furnace,"Smelting station crafted from eight cobblestone blocks"
Intermediate Items,Bed,"Spawn point setter made from three wool and three planks"
Advanced Tools,Diamond Pickaxe,"Top-tier mining tool made from three diamonds and two sticks"
Advanced Tools,Enchanting Table,"Magic station made from obsidian diamonds and book for enchanting items"
Advanced Tools,Anvil,"Tool repair and naming station made from iron blocks and iron ingots"
