owner,name
United States of America,Alabama
United States of America,Alaska
United States of America,Arizona
United States of America,Arkansas
United States of America,California
United States of America,Colorado
United States of America,Connecticut
United States of America,Delaware
United States of America,District of Columbia
United States of America,Florida
United States of America,Georgia
United States of America,Hawaii
United States of America,Idaho
United States of America,Illinois
United States of America,Indiana
United States of America,Iowa
United States of America,Kansas
United States of America,Kentucky
United States of America,Louisiana
United States of America,Maine
United States of America,Maryland
United States of America,Massachusetts
United States of America,Michigan
United States of America,Minnesota
United States of America,Mississippi
United States of America,Missouri
United States of America,Montana
United States of America,Nebraska
United States of America,Nevada
United States of America,New Hampshire
United States of America,New Jersey
United States of America,New Mexico
United States of America,New York
United States of America,North Carolina
United States of America,North Dakota
United States of America,Ohio
United States of America,Oklahoma
United States of America,Oregon
United States of America,Pennsylvania
United States of America,Rhode Island
United States of America,South Carolina
United States of America,South Dakota
United States of America,Tennessee
United States of America,Texas
United States of America,Utah
United States of America,Vermont
United States of America,Virginia
United States of America,Washington
United States of America,West Virginia
United States of America,Wisconsin
United States of America,Wyoming
California,Los Angeles County
Illinois,Cook County
Texas,Harris County
Arizona,Maricopa County
California,San Diego County
California,Orange County
Florida,Miami-Dade County
New York,Kings County
Texas,Dallas County
California,Riverside County
New York,Queens County
Nevada,Clark County
Washington,King County
California,San Bernardino County
Texas,Tarrant County
Texas,Bexar County
Florida,Broward County
California,Santa Clara County
Michigan,Wayne County
New York,New York County
Massachusetts,Middlesex County
Pennsylvania,Philadelphia County
New York,Suffolk County
Florida,Palm Beach County
Florida,Hillsborough County
Florida,Orange County
New York,Bronx County
New York,Nassau County
Ohio,Franklin County
Texas,Travis County
Michigan,Oakland County
Minnesota,Hennepin County
Ohio,Cuyahoga County
Pennsylvania,Allegheny County
Utah,Salt Lake County
North Carolina,Wake County
Virginia,Fairfax County
North Carolina,Mecklenburg County
Texas,Collin County
Georgia,Fulton County
Maryland,Montgomery County
Arizona,Pima County
Florida,Duval County
Hawaii,Honolulu County
Missouri,St. Louis County
Indiana,Marion County
Connecticut,Capitol Planning Region
Georgia,Gwinnett County
Maryland,Prince George's County
New Jersey,Bergen County
Wisconsin,Milwaukee County
Illinois,DuPage County
Washington,Pierce County
Tennessee,Shelby County
Michigan,Macomb County
Massachusetts,Worcester County
New Jersey,Middlesex County
Pennsylvania,Montgomery County
New Jersey,Essex County
Maryland,Baltimore County
Washington,Snohomish County
Ohio,Hamilton County
Massachusetts,Essex County
Oregon,Multnomah County
Oklahoma,Oklahoma County
Massachusetts,Suffolk County
Kentucky,Jefferson County
Georgia,Cobb County
Georgia,DeKalb County
Colorado,El Paso County
Massachusetts,Norfolk County
Missouri,Jackson County
Colorado,Denver County
Illinois,Lake County
New Jersey,Hudson County
Tennessee,Davidson County
Illinois,Will County
Utah,Utah County
New Mexico,Bernalillo County
Oklahoma,Tulsa County
Alabama,Jefferson County
Rhode Island,Providence County
Michigan,Kent County
Colorado,Arapahoe County
New Jersey,Ocean County
Pennsylvania,Bucks County
New Jersey,Monmouth County
Connecticut,Western Connecticut Planning Region
Kansas,Johnson County
Oregon,Washington County
Maryland,Anne Arundel County
Nebraska,Douglas County
Colorado,Jefferson County
Massachusetts,Bristol County
Maryland,Baltimore City
Pennsylvania,Delaware County
Delaware,New Castle County
Connecticut,South Central Connecticut Planning Region
Wisconsin,Dane County
Pennsylvania,Lancaster County
Minnesota,Ramsey County
Washington,Spokane County
North Carolina,Guilford County
Ohio,Summit County
South Carolina,Greenville County
Ohio,Montgomery County
Kansas,Sedgwick County
Colorado,Adams County
Illinois,Kane County
Washington,Clark County
Idaho,Ada County
Indiana,Lake County
Iowa,Polk County
Nevada,Washoe County
Tennessee,Knox County
Virginia,Prince William County
Virginia,Virginia Beach City
Louisiana,East Baton Rouge Parish
Connecticut,Naugatuck Valley Planning Region
Arizona,Pinal County
Minnesota,Dakota County
Louisiana,Jefferson Parish
Ohio,Lucas County
Virginia,Loudoun County
New Hampshire,Hillsborough County
Oregon,Clackamas County
South Carolina,Richland County
South Carolina,Charleston County
Alabama,Mobile County
Missouri,St. Charles County
Wisconsin,Waukesha County
Michigan,Genesee County
